time     | svc | cur | Δ  | tgt | p99
2026-02-18T11:44:09+00:00,4.85,13.8
2026-02-18T11:44:24+00:00,4.85,13.83
2026-02-18T11:44:39+00:00,4.85,15.35
2026-02-18T11:44:54+00:00,4.86,16.83
2026-02-18T11:45:09+00:00,4.86,12.87
2026-02-18T11:45:24+00:00,4.85,11.28
2026-02-18T11:45:39+00:00,4.83,8.92
2026-02-18T11:45:54+00:00,4.82,8.44
2026-02-18T11:46:09+00:00,4.83,8.46
2026-02-18T11:46:24+00:00,4.82,7.45
2026-02-18T11:46:39+00:00,4.81,5.41
2026-02-18T11:46:54+00:00,4.79,5.0
2026-02-18T11:47:09+00:00,4.79,5.29
2026-02-18T11:47:24+00:00,4.81,8.72
2026-02-18T11:47:39+00:00,4.82,8.64
2026-02-18T11:47:54+00:00,4.83,19.79
2026-02-18T11:48:09+00:00,4.88,23.7
2026-02-18T11:48:24+00:00,4.89,26.46
2026-02-18T11:48:39+00:00,4.9,31.6
2026-02-18T11:18:39+00:00,1.0,1.0,1.0
2026-02-18T11:18:54+00:00,2.0,1.0,1.0
2026-02-18T11:19:09+00:00,2.0,1.0,1.0
2026-02-18T11:19:24+00:00,3.0,1.0,1.0
2026-02-18T11:19:39+00:00,3.0,1.0,1.0
2026-02-18T11:19:54+00:00,4.0,1.0,1.0
2026-02-18T11:20:09+00:00,4.0,1.0,1.0
2026-02-18T11:20:24+00:00,5.0,1.0,1.0
2026-02-18T11:20:39+00:00,5.0,1.0,1.0
2026-02-18T11:20:54+00:00,5.0,1.0,1.0
2026-02-18T11:21:09+00:00,5.0,1.0,1.0
2026-02-18T11:21:24+00:00,5.0,1.0,1.0
2026-02-18T11:21:39+00:00,5.0,1.0,1.0
2026-02-18T11:21:54+00:00,5.0,1.0,1.0
2026-02-18T11:22:09+00:00,5.0,1.0,1.0
2026-02-18T11:22:24+00:00,5.0,1.0,1.0
2026-02-18T11:22:39+00:00,5.0,1.0,1.0
2026-02-18T11:22:54+00:00,5.0,1.0,1.0
2026-02-18T11:23:09+00:00,5.0,1.0,1.0
2026-02-18T11:23:24+00:00,5.0,1.0,1.0
2026-02-18T11:23:39+00:00,5.0,1.0,1.0
2026-02-18T11:23:54+00:00,4.0,1.0,1.0
2026-02-18T11:24:09+00:00,4.0,1.0,1.0
2026-02-18T11:24:24+00:00,4.0,1.0,1.0
2026-02-18T11:24:39+00:00,4.0,1.0,1.0
2026-02-18T11:24:54+00:00,4.0,1.0,1.0
2026-02-18T11:25:09+00:00,4.0,1.0,1.0
2026-02-18T11:25:24+00:00,5.0,1.0,1.0
2026-02-18T11:25:39+00:00,5.0,1.0,1.0
2026-02-18T11:25:54+00:00,5.0,1.0,1.0
2026-02-18T11:26:09+00:00,5.0,1.0,1.0
2026-02-18T11:26:24+00:00,5.0,1.0,1.0
2026-02-18T11:26:39+00:00,5.0,1.0,1.0
2026-02-18T11:26:54+00:00,4.0,1.0,1.0
2026-02-18T11:27:09+00:00,4.0,1.0,1.0
2026-02-18T11:27:24+00:00,4.0,1.0,1.0
2026-02-18T11:27:39+00:00,4.0,1.0,1.0
2026-02-18T11:27:54+00:00,5.0,1.0,1.0
2026-02-18T11:28:09+00:00,5.0,1.0,1.0
2026-02-18T11:28:24+00:00,4.0,1.0,1.0
2026-02-18T11:28:39+00:00,4.0,1.0,1.0
2026-02-18T11:28:54+00:00,4.0,1.0,1.0
2026-02-18T11:29:09+00:00,4.0,1.0,1.0
2026-02-18T11:29:24+00:00,5.0,1.0,1.0
